nombre_razon_social;tipo_documento;numero_identificacion;digito_verificacion;codigo_sucursal;nombre_sucursal;clase_aportante;naturaleza_juridica;tipo_persona;formato_presentacion;direccion_correspondencia;codigo_ciudad;codigo_departamento;actividad_economica;telefono;fax;email;identificacion_rl;digito_verificacion_rl;fecha_inicio_concordato;tipo_accion;fecha_fin_actividades_comerciales;codigo_operador;periodo_pago;tipo_aportante;fecha_matricula_mercantil;cod_depto;exonerado_pago_salid;acoge_beneficios;dir_origen;fecha_planilla;periodo_cotizacion;cd_planilla;fecharegistro
Empresa Prueba;CC;31626898;0;;;I;2;N;U;CARRERA 76 16 - 30;1;76;7490;5512908;0;prueba@prueba.com.co;;0;;0;;84;2019-12;2;;0;N;N;;;2019-12;9401673350;11/01/2020 08:39
Empresa Prueba;NI;900645180;0;1;BOGOTA;A;2;J;S;CALLE 93 12 54;1;11;8121;4325070;;prueba@prueba.com.co;91175406;0;;0;;84;2020-01;1;;0;S;N;;;2020-01;9401968229;23/01/2020 08:12
Empresa Prueba;NI;901283244;2;;;A;2;J;U;CRA 30 # 6-06;1;76;4330;5188088;;prueba@prueba.com.co;31955259;0;;0;;84;2020-01;1;;0;S;N;;;2020-01;9401984879;24/01/2020 08:10
Empresa Prueba;NI;811014513;1;;;B;2;J;U;CR505959;1;5;8790;2543598;;prueba@prueba.com.co;70327973;0;;0;;84;2020-01;1;;0;S;N;;;2020-01;9401776401;14/01/2020 10:58
Empresa Prueba;NI;811020576;8;;;A;2;J;U;CRA 43A N 1 SUR 188 OF 701;1;5;6201;4480510;;prueba@prueba.com.co;43089700;0;;0;;84;2019-12;1;;0;S;N;;;2019-12;9401760181;22/01/2020 09:03
Empresa Prueba;NI;900851529;1;;;B;2;J;U;CALLE 111 # 50-06;1;11;7020;3225244;0;prueba@prueba.com.co;63451331;0;;0;;83;2019-12;1;;0;S;N;;;2019-12;39877133;11/01/2020 08:39
Empresa Prueba;NI;890913990;4;;;A;2;J;U;CALLE 14 48-33 OFC 815;1;5;7810;4447600;;prueba@prueba.com.co;43636994;0;;0;;84;2020-01;1;;0;S;N;;;2020-01;9401980307;28/01/2020 08:11
Empresa Prueba;CC;9870588;0;;;I;2;N;U;APTO 741 TANAMBI;1;66;8610;3167907;0;prueba@prueba.com.co;;0;;0;;84;2019-12;2;;0;S;N;;;2019-12;9401606262;25/01/2020 07:07
Empresa Prueba;NI;830501271;0;;;B;2;J;U;CL 131553 LOS ALPES;1;66;4921;3348979;3348979;prueba@prueba.com.co;10127063;0;;0;;86;2020-01;1;;0;S;N;;;2020-01;17046393;21/01/2020 09:47
Empresa Prueba;NI;900484338;5;1;TEMPORSAS;D;2;J;S;CRA 50 N 72;1;8;7810;3488232;;prueba@prueba.com.co;7483499;0;;0;;84;2019-12;1;;8;S;S;;;2019-12;9401768618;14/01/2020 11:22
Empresa Prueba;NI;900695888;1;;;B;2;J;U;CARRERA 57A # 73 - 24;1;11;8530;2400012;2400012;prueba@prueba.com.co;41614520;0;;0;;83;2019-12;1;;0;S;N;;;2019-12;40118596;23/01/2020 07:12
Empresa Prueba;NI;830124778;5;;;A;2;J;U;KR 92 # 64C - 12 BG. 120;1;11;5320;7470547;;prueba@prueba.com.co;79746732;0;;0;;84;2009-10;1;;0;S;N;;;2009-10;9401926890;23/01/2020 08:12
Empresa Prueba;NI;900208975;5;;;C;2;J;U;CRA 23 5 -86 BARRIO LA ALBORADA;1;50;8414;6702823;6700494;prueba@prueba.com.co;55153937;0;;0;;1;2019-12;1;;0;S;N;;;2019-12;7741461454;15/01/2020 07:54
Empresa Prueba;NI;800041433;3;6;ADMINISTRATIVO;B;2;J;S;AV 3 NORTE #35 AN - 59;1;76;7490;6410601;;prueba@prueba.com.co;6386969;0;;0;;88;2019-12;1;;0;S;N;;;2020-01;1027064212;28/01/2020 08:11
